,Loan_ID,Dependents,LoanAmount,Loan_Amount_Term,Credit_History,Total,Gender_Male,Education_Not Graduate,Property_Area_Semiurban,Property_Area_Urban,Married_Yes,Self_Employed_Yes,Loan_Status_Y
101,LP001349,0,151.0,360.0,1.0,8649.0,1,0,1,0,0,0,1
102,LP001350,0,128.0,360.0,1.0,13650.0,1,0,0,1,1,0,1
103,LP001356,0,128.0,360.0,1.0,8235.0,1,0,1,0,1,0,1
104,LP001357,0,160.0,360.0,1.0,4570.0,1,0,0,1,1,0,1
105,LP001367,1,100.0,360.0,1.0,4082.0,1,0,0,1,1,0,1
106,LP001369,2,225.0,360.0,1.0,12543.0,1,0,0,1,1,0,1
107,LP001370,0,120.0,360.0,1.0,7333.0,1,1,0,0,0,0,0
108,LP001379,2,216.0,360.0,0.0,7400.0,1,0,0,1,1,0,0
109,LP001384,3,94.0,480.0,1.0,2825.0,1,1,1,0,1,0,1
110,LP001385,0,136.0,360.0,1.0,5316.0,1,0,0,1,0,0,1
111,LP001387,0,139.0,360.0,1.0,5262.0,0,0,1,0,1,0,1
112,LP001391,0,152.0,360.0,0.0,7686.0,1,1,0,0,1,0,0
113,LP001392,1,128.0,360.0,1.0,7451.0,0,0,1,0,0,1,1
114,LP001398,0,118.0,360.0,1.0,5050.0,1,0,1,0,0,0,1
115,LP001401,1,185.0,180.0,1.0,14583.0,1,0,0,0,1,0,1
116,LP001404,0,154.0,360.0,1.0,5450.0,0,0,1,0,1,0,1
117,LP001405,1,85.0,360.0,1.0,3612.0,1,0,0,1,1,0,1
118,LP001421,0,175.0,360.0,1.0,7710.0,1,0,0,0,1,0,0
119,LP001422,0,259.0,360.0,1.0,10408.0,0,0,0,1,0,0,1
120,LP001426,0,180.0,360.0,1.0,8334.0,1,0,0,0,1,0,1
121,LP001430,0,44.0,360.0,1.0,4166.0,0,0,1,0,0,0,1
122,LP001431,0,137.0,360.0,0.0,11117.0,0,0,1,0,0,0,1
123,LP001432,2,81.0,360.0,1.0,2957.0,1,0,1,0,1,0,1
124,LP001439,0,194.0,360.0,1.0,6314.0,1,1,0,0,1,0,1
125,LP001443,0,93.0,360.0,1.0,3692.0,0,0,0,0,0,0,1
126,LP001448,3,370.0,360.0,1.0,23803.0,1,0,0,0,1,0,1
127,LP001449,0,128.0,360.0,1.0,5505.0,1,0,0,0,0,0,1
128,LP001451,1,160.0,180.0,0.0,14363.0,1,0,0,1,1,1,0
129,LP001465,0,182.0,360.0,1.0,8649.0,1,0,0,0,1,0,0
130,LP001469,0,650.0,480.0,1.0,20166.0,1,0,0,1,0,1,1
131,LP001473,0,74.0,360.0,1.0,3943.0,1,0,0,1,0,0,1
132,LP001478,0,70.0,360.0,1.0,2718.0,1,0,1,0,0,0,1
133,LP001482,0,25.0,120.0,1.0,3459.0,1,0,1,0,1,1,1
134,LP001487,0,102.0,360.0,1.0,4895.0,1,0,1,0,0,0,1
135,LP001488,3,290.0,360.0,1.0,11750.0,1,0,1,0,1,0,0
136,LP001489,0,84.0,360.0,1.0,4583.0,0,0,0,0,1,0,0
137,LP001491,2,88.0,360.0,1.0,6816.0,1,0,0,1,1,1,1
138,LP001492,0,242.0,360.0,0.0,14999.0,1,0,1,0,0,0,0
139,LP001493,2,129.0,360.0,1.0,5630.0,1,1,0,0,1,0,0
140,LP001497,2,185.0,360.0,1.0,7125.0,1,0,0,0,1,0,0
141,LP001498,0,168.0,360.0,1.0,5417.0,1,0,0,1,0,0,1
142,LP001504,0,175.0,180.0,1.0,6950.0,1,0,1,0,0,1,1
143,LP001507,0,122.0,360.0,1.0,4732.0,1,0,1,0,1,0,1
144,LP001508,2,187.0,180.0,1.0,11757.0,1,0,0,1,1,0,1
145,LP001514,0,100.0,360.0,1.0,6816.0,0,0,1,0,1,0,1
146,LP001516,2,70.0,360.0,1.0,14866.0,0,0,0,1,1,0,1
147,LP001518,1,30.0,360.0,1.0,2963.0,1,0,0,1,1,0,1
148,LP001519,0,225.0,360.0,1.0,11666.0,0,0,0,0,0,0,0
149,LP001520,0,125.0,360.0,1.0,5690.0,1,0,1,0,1,0,1
150,LP001528,0,118.0,360.0,0.0,6277.0,1,0,0,0,0,0,0
151,LP001529,0,152.0,360.0,1.0,6327.0,1,0,0,0,1,1,1
152,LP001531,0,244.0,360.0,1.0,9166.0,1,0,0,1,0,0,0
153,LP001532,2,113.0,360.0,1.0,2281.0,1,1,0,0,1,0,0
154,LP001535,0,50.0,360.0,1.0,3254.0,1,0,0,1,0,0,1
155,LP001536,3,600.0,180.0,0.0,39999.0,1,0,1,0,1,0,1
156,LP001541,1,160.0,360.0,1.0,6000.0,1,0,0,0,1,0,1
157,LP001543,1,187.0,360.0,1.0,9538.0,1,0,0,1,1,0,1
158,LP001546,0,120.0,360.0,1.0,5063.0,1,0,0,0,0,0,1
159,LP001552,0,255.0,360.0,1.0,10208.0,1,0,1,0,1,0,1
160,LP001560,0,98.0,360.0,1.0,2904.0,1,1,1,0,1,0,1
161,LP001562,0,275.0,360.0,1.0,7933.0,1,0,0,1,1,0,0
162,LP001565,1,121.0,360.0,0.0,4369.0,1,0,1,0,1,0,0
163,LP001570,2,158.0,360.0,1.0,5614.0,1,0,0,0,1,0,1
164,LP001572,0,75.0,180.0,1.0,9323.0,1,0,0,1,1,0,1
165,LP001574,0,182.0,360.0,1.0,6873.0,1,0,0,0,1,0,1
166,LP001577,0,112.0,360.0,1.0,4583.0,0,0,0,0,1,0,0
167,LP001578,0,129.0,360.0,1.0,5772.0,1,0,0,0,1,0,1
168,LP001579,0,63.0,480.0,0.0,2237.0,1,0,1,0,0,0,0
169,LP001580,2,200.0,360.0,1.0,8000.0,1,0,1,0,1,0,1
170,LP001581,0,95.0,360.0,1.0,3589.0,1,1,0,0,1,0,1
171,LP001585,3,700.0,300.0,1.0,51763.0,1,0,0,1,1,0,1
172,LP001586,3,81.0,180.0,1.0,3522.0,1,1,0,0,1,0,0
173,LP001594,0,187.0,360.0,1.0,11333.0,1,0,1,0,1,0,1
174,LP001603,0,87.0,360.0,1.0,5080.0,1,1,1,0,1,1,0
175,LP001606,0,116.0,360.0,1.0,5461.0,1,0,0,0,1,0,1
176,LP001608,2,101.0,360.0,1.0,3664.0,1,0,0,0,1,0,1
177,LP001610,3,495.0,360.0,0.0,16816.0,1,0,1,0,1,0,0
178,LP001616,1,116.0,360.0,1.0,3750.0,1,0,1,0,1,0,1
179,LP001630,0,102.0,480.0,0.0,3784.0,1,1,0,1,0,0,0
180,LP001633,1,180.0,360.0,0.0,13650.0,1,0,0,1,1,0,0
181,LP001634,0,67.0,360.0,1.0,6979.0,1,0,0,0,0,0,0
182,LP001636,0,73.0,180.0,1.0,4600.0,1,0,1,0,1,0,1
183,LP001637,1,260.0,360.0,1.0,33846.0,1,0,1,0,1,0,0
184,LP001639,0,108.0,360.0,1.0,3625.0,0,0,1,0,1,0,1
185,LP001640,0,120.0,360.0,1.0,43897.0,1,0,1,0,1,1,1
186,LP001641,1,66.0,300.0,0.0,2178.0,1,0,0,0,1,1,0
187,LP001643,0,58.0,360.0,1.0,4521.0,1,0,0,0,1,0,1
188,LP001644,0,168.0,360.0,1.0,5970.0,1,0,0,0,1,1,1
189,LP001647,0,188.0,180.0,1.0,9328.0,1,0,0,0,1,0,1
190,LP001653,0,48.0,360.0,1.0,4885.0,1,1,0,0,0,0,1
191,LP001656,0,164.0,360.0,1.0,12000.0,1,0,1,0,0,0,0
192,LP001657,0,160.0,360.0,1.0,6033.0,1,1,0,1,1,0,0
193,LP001658,0,76.0,360.0,1.0,3858.0,1,0,1,0,0,0,1
194,LP001664,0,120.0,360.0,1.0,4191.0,1,0,0,0,0,0,1
195,LP001665,1,170.0,360.0,1.0,5708.0,1,0,1,0,1,0,0
196,LP001666,0,187.0,360.0,1.0,12083.0,1,0,0,0,0,0,1
197,LP001669,0,120.0,360.0,1.0,4272.0,0,1,0,1,0,0,1
198,LP001671,0,113.0,360.0,1.0,6232.0,0,0,1,0,1,0,1
199,LP001673,0,83.0,360.0,1.0,11000.0,1,0,0,1,0,1,0
200,LP001674,1,90.0,360.0,1.0,5100.0,1,1,1,0,1,0,1
201,LP001677,2,166.0,360.0,0.0,4923.0,1,0,1,0,0,0,1
202,LP001682,3,128.0,180.0,1.0,3992.0,1,1,0,1,1,0,0
203,LP001688,1,135.0,360.0,1.0,4583.0,1,1,0,1,1,0,1
204,LP001691,2,124.0,360.0,1.0,3917.0,1,1,1,0,1,0,1
205,LP001692,0,120.0,360.0,1.0,4408.0,0,1,1,0,0,0,1
206,LP001693,0,80.0,360.0,1.0,3244.0,0,0,0,1,0,0,1
207,LP001698,0,55.0,360.0,1.0,6506.0,1,1,0,0,0,0,1
208,LP001699,0,59.0,360.0,1.0,2479.0,1,0,0,1,0,0,1
209,LP001702,0,127.0,360.0,1.0,3418.0,1,0,1,0,0,0,0
210,LP001708,0,214.0,360.0,1.0,10000.0,0,0,1,0,0,0,0
211,LP001711,3,128.0,360.0,0.0,4680.0,1,0,1,0,1,0,0
212,LP001713,1,240.0,360.0,1.0,7787.0,1,0,0,1,1,1,1
213,LP001715,3,130.0,360.0,1.0,5703.0,1,1,0,0,1,1,1
214,LP001716,0,137.0,360.0,1.0,6194.0,1,0,0,1,1,0,1
215,LP001720,3,100.0,360.0,1.0,4833.0,1,1,1,0,1,0,1
216,LP001722,0,135.0,360.0,1.0,1950.0,1,0,0,0,1,0,0
217,LP001726,0,131.0,360.0,1.0,5502.0,1,0,1,0,1,0,1
218,LP001732,2,72.0,360.0,0.0,5000.0,1,0,1,0,1,0,0
219,LP001734,2,127.0,360.0,1.0,6666.0,0,0,1,0,1,0,1
220,LP001736,0,60.0,360.0,0.0,2221.0,1,0,0,1,1,0,0
221,LP001743,2,116.0,360.0,1.0,5726.0,1,0,1,0,1,0,1
222,LP001744,0,144.0,360.0,1.0,5762.0,1,0,1,0,0,0,1
223,LP001749,0,175.0,360.0,1.0,8588.0,1,0,1,0,1,0,1
224,LP001750,0,128.0,360.0,1.0,6250.0,1,0,1,0,1,0,1
225,LP001751,0,170.0,360.0,1.0,3250.0,1,0,0,0,1,0,0
226,LP001754,0,138.0,360.0,1.0,4735.0,1,1,0,1,1,1,0
227,LP001758,2,210.0,360.0,1.0,7945.0,1,0,1,0,1,0,1
228,LP001760,0,158.0,480.0,1.0,4758.0,1,0,1,0,1,0,1
229,LP001761,0,200.0,360.0,1.0,6400.0,1,0,0,0,0,1,1
230,LP001765,1,104.0,360.0,1.0,4545.0,1,0,1,0,1,0,1
231,LP001768,0,42.0,180.0,1.0,3716.0,1,0,0,0,1,0,1
232,LP001770,0,120.0,360.0,1.0,5787.0,1,1,0,0,0,0,1
233,LP001776,0,280.0,360.0,1.0,8333.0,0,0,1,0,0,0,1
234,LP001778,1,140.0,360.0,1.0,4934.0,1,0,1,0,1,0,1
235,LP001784,1,170.0,360.0,1.0,6760.0,1,0,0,0,1,0,1
236,LP001786,0,255.0,360.0,1.0,5746.0,1,0,0,1,1,0,0
237,LP001788,0,122.0,360.0,1.0,3463.0,0,0,0,1,0,1,1
238,LP001790,1,112.0,360.0,1.0,3812.0,0,0,0,0,0,0,1
239,LP001792,1,96.0,360.0,1.0,3315.0,1,0,1,0,1,0,1
240,LP001798,2,120.0,360.0,1.0,10819.0,1,0,0,0,1,0,1
241,LP001800,1,140.0,180.0,1.0,4493.0,1,1,0,1,1,0,0
242,LP001806,0,155.0,60.0,1.0,8666.0,1,0,0,1,0,0,1
243,LP001807,2,108.0,360.0,1.0,7550.0,1,0,0,0,1,1,1
244,LP001811,0,123.0,360.0,1.0,7823.0,1,1,1,0,1,0,1
245,LP001813,0,120.0,180.0,1.0,10383.0,1,0,0,1,0,1,0
246,LP001814,2,112.0,360.0,1.0,9703.0,1,0,0,1,1,0,1
247,LP001819,1,137.0,180.0,1.0,6608.0,1,1,0,1,1,0,1
248,LP001824,1,123.0,480.0,1.0,4725.0,1,0,1,0,1,0,1
249,LP001825,0,90.0,360.0,1.0,3677.0,1,0,0,1,1,0,1
250,LP001835,0,201.0,360.0,0.0,5558.0,1,1,1,0,1,0,0
251,LP001836,2,138.0,360.0,1.0,3427.0,0,0,0,1,0,0,0
252,LP001841,0,104.0,360.0,1.0,4750.0,1,1,0,0,0,1,1
253,LP001843,1,279.0,180.0,1.0,9762.0,1,1,1,0,1,0,1
254,LP001844,0,192.0,360.0,0.0,16250.0,1,0,0,1,0,1,0
255,LP001846,3,255.0,360.0,1.0,3083.0,0,0,0,0,0,0,1
256,LP001849,0,115.0,360.0,0.0,6045.0,1,1,0,0,0,0,0
257,LP001854,3,94.0,360.0,1.0,5250.0,1,0,0,1,1,0,0
258,LP001859,0,304.0,360.0,1.0,16783.0,1,0,0,0,1,0,0
259,LP001864,3,128.0,360.0,1.0,4931.0,1,1,1,0,1,0,0
260,LP001865,1,330.0,360.0,1.0,10333.0,1,0,0,1,1,0,1
261,LP001868,0,134.0,360.0,1.0,4269.0,1,0,1,0,0,0,1
262,LP001870,1,155.0,36.0,1.0,3481.0,0,0,1,0,0,0,0
263,LP001871,0,120.0,360.0,1.0,7200.0,0,0,0,0,0,0,1
264,LP001872,0,128.0,360.0,1.0,5166.0,1,0,1,0,0,1,1
265,LP001875,0,151.0,360.0,1.0,7542.0,1,0,0,0,0,0,1
266,LP001877,2,150.0,360.0,1.0,6095.0,1,0,1,0,1,0,1
267,LP001882,3,160.0,360.0,0.0,6144.0,1,0,0,1,1,0,1
268,LP001883,0,135.0,360.0,1.0,3418.0,0,0,0,0,0,0,0
269,LP001884,1,90.0,360.0,1.0,4436.0,0,0,0,1,0,0,1
270,LP001888,0,30.0,360.0,1.0,3237.0,0,0,0,1,0,0,1
271,LP001891,0,136.0,360.0,1.0,11146.0,1,0,0,1,1,0,1
272,LP001892,0,126.0,360.0,1.0,4690.0,1,0,0,0,0,0,1
273,LP001894,0,150.0,360.0,1.0,4843.0,1,0,1,0,1,0,1
274,LP001896,2,90.0,360.0,1.0,3900.0,1,0,1,0,1,0,1
275,LP001900,1,115.0,360.0,1.0,4592.0,1,0,1,0,1,0,1
276,LP001903,0,207.0,360.0,1.0,7267.0,1,0,1,0,1,0,1
277,LP001904,0,80.0,360.0,1.0,4403.0,1,0,0,1,1,0,1
278,LP001907,0,436.0,360.0,1.0,14583.0,1,0,1,0,1,0,1
279,LP001908,0,124.0,360.0,1.0,4100.0,0,1,0,0,1,0,1
280,LP001910,1,158.0,360.0,0.0,6479.0,1,1,0,1,0,1,0
281,LP001914,0,112.0,360.0,1.0,4727.0,1,0,1,0,1,0,1
282,LP001915,2,78.0,180.0,1.0,3286.7999878,1,0,0,1,1,0,1
283,LP001917,0,54.0,360.0,1.0,3477.0,0,0,0,1,0,0,1
284,LP001922,0,128.0,360.0,1.0,20667.0,1,0,0,0,1,0,0
285,LP001924,0,89.0,360.0,1.0,6211.0,1,0,0,0,0,0,1
286,LP001925,0,99.0,300.0,1.0,4317.0,0,0,1,0,0,1,0
287,LP001926,0,120.0,360.0,1.0,5704.0,1,0,0,0,1,0,1
288,LP001931,0,115.0,360.0,1.0,4124.0,0,0,1,0,0,0,1
289,LP001935,0,187.0,360.0,1.0,9508.0,1,0,0,0,0,0,1
290,LP001936,0,139.0,360.0,1.0,5491.0,1,0,0,0,1,0,1
291,LP001938,2,127.0,360.0,0.0,4400.0,1,0,1,0,1,0,0
292,LP001940,2,134.0,360.0,1.0,4713.0,1,0,0,1,1,0,1
293,LP001945,0,143.0,480.0,0.0,5417.0,0,0,0,1,0,0,0
294,LP001947,0,172.0,360.0,1.0,5717.0,1,0,1,0,1,0,1
295,LP001949,3,110.0,360.0,1.0,5666.0,1,0,0,1,1,0,1
296,LP001953,1,200.0,360.0,1.0,6875.0,1,0,1,0,1,0,1
297,LP001954,1,135.0,360.0,1.0,4666.0,0,0,0,1,1,0,1
298,LP001955,0,151.0,480.0,1.0,7541.0,0,0,0,0,0,0,0
299,LP001963,1,113.0,360.0,1.0,4939.0,1,0,0,1,1,0,0
300,LP001964,0,93.0,360.0,0.0,4734.0,1,1,0,1,1,0,0
301,LP001972,0,105.0,360.0,1.0,4625.0,1,1,1,0,1,0,1
302,LP001974,0,132.0,360.0,1.0,5000.0,0,0,0,0,0,0,1
303,LP001977,1,96.0,360.0,1.0,3428.0,1,0,0,1,1,0,1
304,LP001978,0,140.0,360.0,1.0,6500.0,1,0,0,0,0,0,1
305,LP001990,0,128.0,360.0,1.0,2000.0,1,1,0,1,0,0,0
306,LP001993,0,135.0,360.0,1.0,5428.0,0,0,0,0,0,0,1
307,LP001994,0,104.0,360.0,0.0,4263.0,0,0,0,1,0,0,0
308,LP001996,0,480.0,360.0,1.0,20233.0,1,0,0,0,0,0,0
309,LP001998,2,185.0,360.0,1.0,7667.0,1,1,0,0,1,0,1
310,LP002002,0,84.0,360.0,1.0,2917.0,0,0,1,0,0,0,1
311,LP002004,0,111.0,360.0,1.0,5332.0,1,1,1,0,0,0,1
312,LP002006,0,56.0,360.0,1.0,2507.0,0,0,0,0,0,0,1
313,LP002008,2,144.0,84.0,1.0,5746.0,1,0,0,0,1,1,1
314,LP002024,0,159.0,360.0,1.0,4316.0,1,0,0,0,1,0,0
315,LP002031,1,111.0,180.0,1.0,5039.0,1,1,0,1,1,0,1
316,LP002035,2,120.0,360.0,1.0,3717.0,1,0,1,0,1,0,1
317,LP002036,0,88.0,360.0,1.0,4192.0,1,0,0,1,1,0,1
318,LP002043,1,112.0,360.0,1.0,3541.0,0,0,1,0,0,0,1
319,LP002050,1,155.0,360.0,1.0,10000.0,1,0,0,0,1,1,0
320,LP002051,0,115.0,360.0,1.0,4567.0,1,0,1,0,1,0,1
321,LP002053,3,124.0,360.0,1.0,4531.0,1,0,1,0,1,0,1
322,LP002054,2,128.0,360.0,1.0,5191.0,1,1,0,0,1,0,1
323,LP002055,0,132.0,360.0,1.0,6151.0,0,0,0,0,0,0,1
324,LP002065,3,300.0,360.0,1.0,15000.0,1,0,0,0,1,0,1
325,LP002067,1,376.0,360.0,0.0,13649.0,1,0,0,0,1,1,0
326,LP002068,0,130.0,360.0,0.0,4917.0,1,0,0,0,0,0,1
327,LP002082,0,184.0,360.0,1.0,7978.0,1,0,1,0,1,1,1
328,LP002086,0,110.0,360.0,1.0,6784.0,0,0,0,1,1,0,0
329,LP002087,0,67.0,360.0,1.0,2500.0,0,0,0,1,0,0,1
330,LP002097,1,117.0,360.0,1.0,6177.0,1,0,0,1,0,0,1
331,LP002098,0,98.0,360.0,1.0,2935.0,1,0,1,0,0,0,1
332,LP002100,0,71.0,360.0,1.0,2833.0,1,0,0,1,0,0,1
333,LP002101,0,490.0,180.0,1.0,63337.0,1,0,0,1,1,0,1
334,LP002103,1,182.0,180.0,1.0,11666.0,1,0,0,1,1,1,1
335,LP002106,0,70.0,360.0,1.0,9993.0,1,0,1,0,1,1,1
336,LP002110,1,160.0,360.0,1.0,5938.0,1,0,0,0,1,0,1
337,LP002112,2,176.0,360.0,1.0,7100.0,1,0,0,0,1,1,1
338,LP002113,3,128.0,360.0,0.0,1830.0,0,1,0,1,0,0,0
339,LP002114,0,71.0,360.0,1.0,4160.0,0,0,1,0,0,0,1
340,LP002115,3,173.0,360.0,1.0,4234.0,1,1,0,0,1,0,0
341,LP002116,0,46.0,360.0,1.0,2378.0,0,0,0,0,0,0,0
342,LP002119,1,158.0,360.0,1.0,5783.0,1,1,0,1,1,0,1
343,LP002126,3,74.0,360.0,1.0,3173.0,1,1,1,0,1,0,1
