Loan_ID,Gender,Married,Dependents,Education,Self_Employed,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total
LP001207,Male,Yes,0,Not Graduate,Yes,165.0,180.0,0.0,Rural,N,6058.0
LP001213,Male,Yes,1,Graduate,No,,360.0,0.0,Rural,N,4945.0
LP001222,Female,No,0,Graduate,No,116.0,360.0,0.0,Semiurban,N,4166.0
LP001225,Male,Yes,0,Graduate,No,258.0,360.0,1.0,Semiurban,N,10321.0
LP001228,Male,No,0,Not Graduate,No,126.0,180.0,0.0,Urban,N,5454.0
LP001233,Male,Yes,1,Graduate,No,312.0,360.0,1.0,Urban,Y,10750.0
LP001238,Male,Yes,3,Not Graduate,Yes,125.0,60.0,1.0,Urban,Y,7100.0
LP001241,Female,No,0,Graduate,No,136.0,360.0,0.0,Semiurban,N,4300.0
LP001243,Male,Yes,0,Graduate,No,172.0,360.0,1.0,Urban,Y,6274.0
LP001245,Male,Yes,2,Not Graduate,Yes,97.0,360.0,1.0,Semiurban,Y,3750.0
LP001248,Male,No,0,Graduate,No,81.0,300.0,1.0,Semiurban,Y,3500.0
LP001250,Male,Yes,3,Not Graduate,No,95.0,,0.0,Semiurban,N,4755.0
LP001253,Male,Yes,3,Graduate,Yes,187.0,360.0,1.0,Semiurban,Y,7040.0
LP001255,Male,No,0,Graduate,No,113.0,480.0,1.0,Urban,N,3750.0
LP001256,Male,No,0,Graduate,No,176.0,360.0,1.0,Urban,N,8500.0
LP001259,Male,Yes,1,Graduate,Yes,110.0,360.0,1.0,Urban,N,4022.0
LP001263,Male,Yes,3,Graduate,No,180.0,300.0,0.0,Semiurban,N,7167.0
LP001264,Male,Yes,3,Not Graduate,Yes,130.0,360.0,,Semiurban,Y,5499.0
LP001265,Female,No,0,Graduate,No,111.0,360.0,1.0,Semiurban,Y,3846.0
LP001266,Male,Yes,1,Graduate,Yes,,360.0,1.0,Semiurban,Y,2395.0
LP001267,Female,Yes,2,Graduate,No,167.0,360.0,1.0,Urban,N,3259.0
LP001273,Male,Yes,0,Graduate,No,265.0,360.0,,Semiurban,N,8250.0
LP001275,Male,Yes,1,Graduate,No,50.0,240.0,1.0,Urban,Y,3988.0
LP001279,Male,No,0,Graduate,No,136.0,360.0,1.0,Semiurban,Y,4897.0
LP001280,Male,Yes,2,Not Graduate,No,99.0,360.0,,Semiurban,Y,5333.0
LP001282,Male,Yes,0,Graduate,No,104.0,360.0,1.0,Semiurban,Y,4618.0
LP001289,Male,No,0,Graduate,No,210.0,360.0,1.0,Urban,Y,8566.0
LP001310,Male,Yes,0,Graduate,No,175.0,360.0,1.0,Semiurban,Y,9862.0
LP001316,Male,Yes,0,Graduate,No,131.0,360.0,1.0,Semiurban,Y,5858.0
LP001318,Male,Yes,2,Graduate,No,188.0,180.0,1.0,Semiurban,Y,11904.0
LP001319,Male,Yes,2,Not Graduate,No,81.0,360.0,1.0,Urban,Y,5093.0
LP001322,Male,No,0,Graduate,No,122.0,360.0,1.0,Semiurban,Y,4133.0
LP001325,Male,No,0,Not Graduate,No,25.0,120.0,1.0,Semiurban,Y,3620.0
LP001326,Male,No,0,Graduate,,,360.0,,Urban,N,6782.0
LP001327,Female,Yes,0,Graduate,No,137.0,360.0,1.0,Semiurban,Y,4786.0
LP001333,Male,Yes,0,Graduate,No,50.0,360.0,1.0,Semiurban,Y,2974.0
LP001334,Male,Yes,0,Not Graduate,No,115.0,180.0,1.0,Semiurban,Y,4188.0
LP001343,Male,Yes,0,Graduate,No,131.0,360.0,1.0,Semiurban,Y,5300.0
LP001345,Male,Yes,2,Not Graduate,No,133.0,180.0,1.0,Urban,Y,7551.0
LP001349,Male,No,0,Graduate,No,151.0,360.0,1.0,Semiurban,Y,8649.0
LP001350,Male,Yes,,Graduate,No,,360.0,1.0,Urban,Y,13650.0
LP001356,Male,Yes,0,Graduate,No,,360.0,1.0,Semiurban,Y,8235.0
LP001357,Male,,,Graduate,No,160.0,360.0,1.0,Urban,Y,4570.0
LP001367,Male,Yes,1,Graduate,No,100.0,360.0,1.0,Urban,Y,4082.0
LP001369,Male,Yes,2,Graduate,No,225.0,360.0,1.0,Urban,Y,12543.0
LP001370,Male,No,0,Not Graduate,,120.0,360.0,1.0,Rural,N,7333.0
LP001379,Male,Yes,2,Graduate,No,216.0,360.0,0.0,Urban,N,7400.0
LP001384,Male,Yes,3,Not Graduate,No,94.0,480.0,1.0,Semiurban,Y,2825.0
LP001385,Male,No,0,Graduate,No,136.0,360.0,1.0,Urban,Y,5316.0
LP001387,Female,Yes,0,Graduate,,139.0,360.0,1.0,Semiurban,Y,5262.0
LP001391,Male,Yes,0,Not Graduate,No,152.0,,0.0,Rural,N,7686.0
LP001392,Female,No,1,Graduate,Yes,,360.0,1.0,Semiurban,Y,7451.0
LP001398,Male,No,0,Graduate,,118.0,360.0,1.0,Semiurban,Y,5050.0
LP001401,Male,Yes,1,Graduate,No,185.0,180.0,1.0,Rural,Y,14583.0
LP001404,Female,Yes,0,Graduate,No,154.0,360.0,1.0,Semiurban,Y,5450.0
LP001405,Male,Yes,1,Graduate,No,85.0,360.0,,Urban,Y,3612.0
LP001421,Male,Yes,0,Graduate,No,175.0,360.0,1.0,Rural,N,7710.0
LP001422,Female,No,0,Graduate,No,259.0,360.0,1.0,Urban,Y,10408.0
LP001426,Male,Yes,,Graduate,No,180.0,360.0,1.0,Rural,Y,8334.0
LP001430,Female,No,0,Graduate,No,44.0,360.0,1.0,Semiurban,Y,4166.0
LP001431,Female,No,0,Graduate,No,137.0,360.0,0.0,Semiurban,Y,11117.0
LP001432,Male,Yes,2,Graduate,No,81.0,360.0,1.0,Semiurban,Y,2957.0
LP001439,Male,Yes,0,Not Graduate,No,194.0,360.0,1.0,Rural,Y,6314.0
LP001443,Female,No,0,Graduate,No,93.0,360.0,,Rural,Y,3692.0
LP001448,,Yes,3,Graduate,No,370.0,360.0,1.0,Rural,Y,23803.0
LP001449,Male,No,0,Graduate,No,,360.0,1.0,Rural,Y,5505.0
LP001451,Male,Yes,1,Graduate,Yes,160.0,180.0,0.0,Urban,N,14363.0
LP001465,Male,Yes,0,Graduate,No,182.0,360.0,,Rural,N,8649.0
LP001469,Male,No,0,Graduate,Yes,650.0,480.0,,Urban,Y,20166.0
LP001473,Male,No,0,Graduate,No,74.0,360.0,1.0,Urban,Y,3943.0
LP001478,Male,No,0,Graduate,No,70.0,360.0,1.0,Semiurban,Y,2718.0
LP001482,Male,Yes,0,Graduate,Yes,25.0,120.0,1.0,Semiurban,Y,3459.0
LP001487,Male,No,0,Graduate,No,102.0,360.0,1.0,Semiurban,Y,4895.0
LP001488,Male,Yes,3,Graduate,No,290.0,360.0,1.0,Semiurban,N,11750.0
LP001489,Female,Yes,0,Graduate,No,84.0,360.0,1.0,Rural,N,4583.0
LP001491,Male,Yes,2,Graduate,Yes,88.0,360.0,1.0,Urban,Y,6816.0
LP001492,Male,No,0,Graduate,No,242.0,360.0,0.0,Semiurban,N,14999.0
LP001493,Male,Yes,2,Not Graduate,No,129.0,360.0,1.0,Rural,N,5630.0
LP001497,Male,Yes,2,Graduate,No,185.0,360.0,1.0,Rural,N,7125.0
LP001498,Male,No,0,Graduate,No,168.0,360.0,1.0,Urban,Y,5417.0
LP001504,Male,No,0,Graduate,Yes,175.0,180.0,1.0,Semiurban,Y,6950.0
LP001507,Male,Yes,0,Graduate,No,122.0,360.0,1.0,Semiurban,Y,4732.0
LP001508,Male,Yes,2,Graduate,No,187.0,180.0,1.0,Urban,Y,11757.0
LP001514,Female,Yes,0,Graduate,No,100.0,360.0,1.0,Semiurban,Y,6816.0
LP001516,Female,Yes,2,Graduate,No,70.0,360.0,1.0,Urban,Y,14866.0
LP001518,Male,Yes,1,Graduate,No,30.0,360.0,1.0,Urban,Y,2963.0
LP001519,Female,No,0,Graduate,No,225.0,360.0,1.0,Rural,N,11666.0
LP001520,Male,Yes,0,Graduate,No,125.0,360.0,1.0,Semiurban,Y,5690.0
LP001528,Male,No,0,Graduate,No,118.0,360.0,0.0,Rural,N,6277.0
LP001529,Male,Yes,0,Graduate,Yes,152.0,360.0,1.0,Rural,Y,6327.0
LP001531,Male,No,0,Graduate,No,244.0,360.0,1.0,Urban,N,9166.0
LP001532,Male,Yes,2,Not Graduate,No,113.0,360.0,1.0,Rural,N,2281.0
LP001535,Male,No,0,Graduate,No,50.0,360.0,1.0,Urban,Y,3254.0
LP001536,Male,Yes,3,Graduate,No,600.0,180.0,0.0,Semiurban,Y,39999.0
LP001541,Male,Yes,1,Graduate,No,160.0,360.0,,Rural,Y,6000.0
LP001543,Male,Yes,1,Graduate,No,187.0,360.0,1.0,Urban,Y,9538.0
LP001546,Male,No,0,Graduate,,120.0,360.0,1.0,Rural,Y,5063.0
LP001552,Male,Yes,0,Graduate,No,255.0,360.0,1.0,Semiurban,Y,10208.0
LP001560,Male,Yes,0,Not Graduate,No,98.0,360.0,1.0,Semiurban,Y,2904.0
LP001562,Male,Yes,0,Graduate,No,275.0,360.0,1.0,Urban,N,7933.0
LP001565,Male,Yes,1,Graduate,No,121.0,360.0,0.0,Semiurban,N,4369.0
LP001570,Male,Yes,2,Graduate,No,158.0,360.0,1.0,Rural,Y,5614.0
LP001572,Male,Yes,0,Graduate,No,75.0,180.0,1.0,Urban,Y,9323.0
LP001574,Male,Yes,0,Graduate,No,182.0,,1.0,Rural,Y,6873.0
LP001577,Female,Yes,0,Graduate,No,112.0,360.0,1.0,Rural,N,4583.0
LP001578,Male,Yes,0,Graduate,No,129.0,360.0,1.0,Rural,Y,5772.0
LP001579,Male,No,0,Graduate,No,63.0,480.0,0.0,Semiurban,N,2237.0
LP001580,Male,Yes,2,Graduate,No,200.0,360.0,1.0,Semiurban,Y,8000.0
LP001581,Male,Yes,0,Not Graduate,,95.0,360.0,1.0,Rural,Y,3589.0
LP001585,,Yes,3,Graduate,No,700.0,300.0,1.0,Urban,Y,51763.0
LP001586,Male,Yes,3,Not Graduate,No,81.0,180.0,1.0,Rural,N,3522.0
LP001594,Male,Yes,0,Graduate,No,187.0,360.0,1.0,Semiurban,Y,11333.0
LP001603,Male,Yes,0,Not Graduate,Yes,87.0,360.0,1.0,Semiurban,N,5080.0
LP001606,Male,Yes,0,Graduate,No,116.0,360.0,1.0,Rural,Y,5461.0
LP001608,Male,Yes,2,Graduate,No,101.0,360.0,1.0,Rural,Y,3664.0
LP001610,Male,Yes,3,Graduate,No,495.0,360.0,0.0,Semiurban,N,16816.0
LP001616,Male,Yes,1,Graduate,No,116.0,360.0,1.0,Semiurban,Y,3750.0
LP001630,Male,No,0,Not Graduate,No,102.0,480.0,0.0,Urban,N,3784.0
LP001633,Male,Yes,1,Graduate,No,180.0,360.0,0.0,Urban,N,13650.0
LP001634,Male,No,0,Graduate,No,67.0,360.0,,Rural,N,6979.0
LP001636,Male,Yes,0,Graduate,No,73.0,180.0,1.0,Semiurban,Y,4600.0
LP001637,Male,Yes,1,Graduate,No,260.0,360.0,1.0,Semiurban,N,33846.0
LP001639,Female,Yes,0,Graduate,No,108.0,360.0,1.0,Semiurban,Y,3625.0
LP001640,Male,Yes,0,Graduate,Yes,120.0,360.0,1.0,Semiurban,Y,43897.0
LP001641,Male,Yes,1,Graduate,Yes,66.0,300.0,0.0,Rural,N,2178.0
LP001643,Male,Yes,0,Graduate,No,58.0,360.0,,Rural,Y,4521.0
LP001644,,Yes,0,Graduate,Yes,168.0,360.0,1.0,Rural,Y,5970.0
LP001647,Male,Yes,0,Graduate,No,188.0,180.0,1.0,Rural,Y,9328.0
LP001653,Male,No,0,Not Graduate,No,48.0,360.0,1.0,Rural,Y,4885.0
LP001656,Male,No,0,Graduate,No,164.0,360.0,1.0,Semiurban,N,12000.0
LP001657,Male,Yes,0,Not Graduate,No,160.0,360.0,1.0,Urban,N,6033.0
LP001658,Male,No,0,Graduate,No,76.0,360.0,1.0,Semiurban,Y,3858.0
LP001664,Male,No,0,Graduate,No,120.0,360.0,1.0,Rural,Y,4191.0
LP001665,Male,Yes,1,Graduate,No,170.0,360.0,1.0,Semiurban,N,5708.0
LP001666,Male,No,0,Graduate,No,187.0,360.0,1.0,Rural,Y,12083.0
LP001669,Female,No,0,Not Graduate,No,120.0,,1.0,Urban,Y,4272.0
LP001671,Female,Yes,0,Graduate,No,113.0,360.0,,Semiurban,Y,6232.0
LP001673,Male,No,0,Graduate,Yes,83.0,360.0,1.0,Urban,N,11000.0
LP001674,Male,Yes,1,Not Graduate,No,90.0,360.0,1.0,Semiurban,Y,5100.0
LP001677,Male,No,2,Graduate,No,166.0,360.0,0.0,Semiurban,Y,4923.0
LP001682,Male,Yes,3,Not Graduate,No,,180.0,1.0,Urban,N,3992.0
LP001688,Male,Yes,1,Not Graduate,No,135.0,360.0,1.0,Urban,Y,4583.0
LP001691,Male,Yes,2,Not Graduate,No,124.0,360.0,1.0,Semiurban,Y,3917.0
LP001692,Female,No,0,Not Graduate,No,120.0,360.0,1.0,Semiurban,Y,4408.0
LP001693,Female,No,0,Graduate,No,80.0,360.0,1.0,Urban,Y,3244.0
LP001698,Male,No,0,Not Graduate,No,55.0,360.0,1.0,Rural,Y,6506.0
LP001699,Male,No,0,Graduate,No,59.0,360.0,1.0,Urban,Y,2479.0
LP001702,Male,No,0,Graduate,No,127.0,360.0,1.0,Semiurban,N,3418.0
LP001708,Female,No,0,Graduate,No,214.0,360.0,1.0,Semiurban,N,10000.0
LP001711,Male,Yes,3,Graduate,No,128.0,360.0,0.0,Semiurban,N,4680.0
LP001713,Male,Yes,1,Graduate,Yes,240.0,360.0,1.0,Urban,Y,7787.0
LP001715,Male,Yes,3,Not Graduate,Yes,130.0,360.0,1.0,Rural,Y,5703.0
LP001716,Male,Yes,0,Graduate,No,137.0,360.0,1.0,Urban,Y,6194.0
LP001720,Male,Yes,3,Not Graduate,No,100.0,360.0,1.0,Semiurban,Y,4833.0
LP001722,Male,Yes,0,Graduate,No,135.0,360.0,1.0,Rural,N,1950.0
LP001726,Male,Yes,0,Graduate,No,131.0,360.0,1.0,Semiurban,Y,5502.0
LP001732,Male,Yes,2,Graduate,,72.0,360.0,0.0,Semiurban,N,5000.0
LP001734,Female,Yes,2,Graduate,No,127.0,360.0,,Semiurban,Y,6666.0
LP001736,Male,Yes,0,Graduate,No,60.0,360.0,0.0,Urban,N,2221.0
LP001743,Male,Yes,2,Graduate,No,116.0,360.0,1.0,Semiurban,Y,5726.0
LP001744,Male,No,0,Graduate,No,144.0,360.0,1.0,Semiurban,Y,5762.0
LP001749,Male,Yes,0,Graduate,No,175.0,,1.0,Semiurban,Y,8588.0
LP001750,Male,Yes,0,Graduate,No,128.0,360.0,1.0,Semiurban,Y,6250.0
LP001751,Male,Yes,0,Graduate,No,170.0,360.0,1.0,Rural,N,3250.0
LP001754,Male,Yes,,Not Graduate,Yes,138.0,360.0,1.0,Urban,N,4735.0
LP001758,Male,Yes,2,Graduate,No,210.0,360.0,1.0,Semiurban,Y,7945.0
LP001760,Male,,,Graduate,No,158.0,480.0,1.0,Semiurban,Y,4758.0
LP001761,Male,No,0,Graduate,Yes,200.0,360.0,1.0,Rural,Y,6400.0
LP001765,Male,Yes,1,Graduate,No,104.0,360.0,1.0,Semiurban,Y,4545.0
LP001768,Male,Yes,0,Graduate,,42.0,180.0,1.0,Rural,Y,3716.0
LP001770,Male,No,0,Not Graduate,No,120.0,,1.0,Rural,Y,5787.0
LP001776,Female,No,0,Graduate,No,280.0,360.0,1.0,Semiurban,Y,8333.0
LP001778,Male,Yes,1,Graduate,No,140.0,360.0,1.0,Semiurban,Y,4934.0
LP001784,Male,Yes,1,Graduate,No,170.0,360.0,1.0,Rural,Y,6760.0
LP001786,Male,Yes,0,Graduate,,255.0,360.0,,Urban,N,5746.0
LP001788,Female,No,0,Graduate,Yes,122.0,360.0,,Urban,Y,3463.0
LP001790,Female,No,1,Graduate,No,112.0,360.0,1.0,Rural,Y,3812.0
LP001792,Male,Yes,1,Graduate,No,96.0,360.0,1.0,Semiurban,Y,3315.0
LP001798,Male,Yes,2,Graduate,No,120.0,360.0,1.0,Rural,Y,10819.0
LP001800,Male,Yes,1,Not Graduate,No,140.0,180.0,1.0,Urban,N,4493.0
LP001806,Male,No,0,Graduate,No,155.0,60.0,1.0,Urban,Y,8666.0
LP001807,Male,Yes,2,Graduate,Yes,108.0,360.0,1.0,Rural,Y,7550.0
LP001811,Male,Yes,0,Not Graduate,No,123.0,360.0,1.0,Semiurban,Y,7823.0
LP001813,Male,No,0,Graduate,Yes,120.0,180.0,1.0,Urban,N,10383.0
LP001814,Male,Yes,2,Graduate,No,112.0,360.0,1.0,Urban,Y,9703.0
LP001819,Male,Yes,1,Not Graduate,No,137.0,180.0,1.0,Urban,Y,6608.0
LP001824,Male,Yes,1,Graduate,No,123.0,480.0,1.0,Semiurban,Y,4725.0
LP001825,Male,Yes,0,Graduate,No,90.0,360.0,1.0,Urban,Y,3677.0
LP001835,Male,Yes,0,Not Graduate,No,201.0,360.0,0.0,Semiurban,N,5558.0
LP001836,Female,No,2,Graduate,No,138.0,360.0,1.0,Urban,N,3427.0
LP001841,Male,No,0,Not Graduate,Yes,104.0,360.0,1.0,Rural,Y,4750.0
LP001843,Male,Yes,1,Not Graduate,No,279.0,180.0,1.0,Semiurban,Y,9762.0
LP001844,Male,No,0,Graduate,Yes,192.0,360.0,0.0,Urban,N,16250.0
LP001846,Female,No,3,Graduate,No,255.0,360.0,1.0,Rural,Y,3083.0
LP001849,Male,No,0,Not Graduate,No,115.0,360.0,0.0,Rural,N,6045.0
LP001854,Male,Yes,3,Graduate,No,94.0,360.0,1.0,Urban,N,5250.0
LP001859,Male,Yes,0,Graduate,No,304.0,360.0,1.0,Rural,N,16783.0
LP001864,Male,Yes,3,Not Graduate,No,128.0,360.0,,Semiurban,N,4931.0
LP001865,Male,Yes,1,Graduate,No,330.0,360.0,,Urban,Y,10333.0
LP001868,Male,No,0,Graduate,No,134.0,360.0,1.0,Semiurban,Y,4269.0
LP001870,Female,No,1,Graduate,No,155.0,36.0,1.0,Semiurban,N,3481.0
LP001871,Female,No,0,Graduate,No,120.0,360.0,1.0,Rural,Y,7200.0
LP001872,Male,No,0,Graduate,Yes,128.0,360.0,1.0,Semiurban,Y,5166.0
LP001875,Male,No,0,Graduate,No,151.0,360.0,1.0,Rural,Y,7542.0
LP001877,Male,Yes,2,Graduate,No,150.0,360.0,1.0,Semiurban,Y,6095.0
LP001882,Male,Yes,3,Graduate,No,160.0,360.0,0.0,Urban,Y,6144.0
LP001883,Female,No,0,Graduate,,135.0,360.0,1.0,Rural,N,3418.0
LP001884,Female,No,1,Graduate,No,90.0,360.0,1.0,Urban,Y,4436.0
LP001888,Female,No,0,Graduate,No,30.0,360.0,1.0,Urban,Y,3237.0
LP001891,Male,Yes,0,Graduate,No,136.0,360.0,1.0,Urban,Y,11146.0
LP001892,Male,No,0,Graduate,No,126.0,360.0,1.0,Rural,Y,4690.0
LP001894,Male,Yes,0,Graduate,No,150.0,360.0,1.0,Semiurban,Y,4843.0
LP001896,Male,Yes,2,Graduate,No,90.0,360.0,1.0,Semiurban,Y,3900.0
LP001900,Male,Yes,1,Graduate,No,115.0,360.0,1.0,Semiurban,Y,4592.0
LP001903,Male,Yes,0,Graduate,No,207.0,360.0,1.0,Semiurban,Y,7267.0
LP001904,Male,Yes,0,Graduate,No,80.0,360.0,1.0,Urban,Y,4403.0
LP001907,Male,Yes,0,Graduate,No,436.0,360.0,1.0,Semiurban,Y,14583.0
LP001908,Female,Yes,0,Not Graduate,No,124.0,360.0,,Rural,Y,4100.0
LP001910,Male,No,1,Not Graduate,Yes,158.0,360.0,0.0,Urban,N,6479.0
LP001914,Male,Yes,0,Graduate,No,112.0,360.0,1.0,Semiurban,Y,4727.0
LP001915,Male,Yes,2,Graduate,No,78.0,180.0,1.0,Urban,Y,3286.7999878
LP001917,Female,No,0,Graduate,No,54.0,360.0,1.0,Urban,Y,3477.0
LP001922,Male,Yes,0,Graduate,No,,360.0,1.0,Rural,N,20667.0
LP001924,Male,No,0,Graduate,No,89.0,360.0,1.0,Rural,Y,6211.0
LP001925,Female,No,0,Graduate,Yes,99.0,300.0,1.0,Semiurban,N,4317.0
LP001926,Male,Yes,0,Graduate,No,120.0,360.0,1.0,Rural,Y,5704.0
LP001931,Female,No,0,Graduate,No,115.0,360.0,1.0,Semiurban,Y,4124.0
LP001935,Male,No,0,Graduate,No,187.0,360.0,1.0,Rural,Y,9508.0
LP001936,Male,Yes,0,Graduate,No,139.0,360.0,1.0,Rural,Y,5491.0
LP001938,Male,Yes,2,Graduate,No,127.0,360.0,0.0,Semiurban,N,4400.0
LP001940,Male,Yes,2,Graduate,No,134.0,360.0,1.0,Urban,Y,4713.0
LP001945,Female,No,,Graduate,No,143.0,480.0,0.0,Urban,N,5417.0
LP001947,Male,Yes,0,Graduate,No,172.0,360.0,1.0,Semiurban,Y,5717.0
LP001949,Male,Yes,3,Graduate,,110.0,360.0,1.0,Urban,Y,5666.0
LP001953,Male,Yes,1,Graduate,No,200.0,360.0,1.0,Semiurban,Y,6875.0
LP001954,Female,Yes,1,Graduate,No,135.0,360.0,1.0,Urban,Y,4666.0
LP001955,Female,No,0,Graduate,No,151.0,480.0,1.0,Rural,N,7541.0
LP001963,Male,Yes,1,Graduate,No,113.0,360.0,1.0,Urban,N,4939.0
LP001964,Male,Yes,0,Not Graduate,No,93.0,360.0,0.0,Urban,N,4734.0
LP001972,Male,Yes,,Not Graduate,No,105.0,360.0,1.0,Semiurban,Y,4625.0
LP001974,Female,No,0,Graduate,No,132.0,360.0,1.0,Rural,Y,5000.0
LP001977,Male,Yes,1,Graduate,No,96.0,360.0,1.0,Urban,Y,3428.0
LP001978,Male,No,0,Graduate,No,140.0,360.0,1.0,Rural,Y,6500.0
LP001990,Male,No,0,Not Graduate,No,,360.0,1.0,Urban,N,2000.0
LP001993,Female,No,0,Graduate,No,135.0,360.0,1.0,Rural,Y,5428.0
LP001994,Female,No,0,Graduate,No,104.0,360.0,0.0,Urban,N,4263.0
